,Hora 0,Hora 1,Hora 2,Hora 3,Hora 4,Hora 5,Hora 6,Hora 7,Hora 8,Hora 9,Hora 10,Hora 11,Hora 12,Hora 13,Hora 14,Hora 15,Hora 16,Hora 17,Hora 18,Hora 19,Hora 20,Hora 21,Hora 22,Hora 23
Unidade 1 (TS),0.0,0.0,0.0,0.0,0.0,0.0,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.39855072463768115,0.39855072463768115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 2,0.0,0.0,0.0,0.0,0.0,0.0,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.10144927536231883,0.10144927536231883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 3 (TS),0.0,0.0,0.0,0.0,0.0,0.0,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.39855072463768115,0.39855072463768115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 4,0.0,0.0,0.0,0.0,0.0,0.0,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.10144927536231883,0.10144927536231883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 5 (TS),0.0,0.0,0.0,0.0,0.0,0.0,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.39855072463768115,0.39855072463768115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 6,0.0,0.0,0.0,0.0,0.0,0.0,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.10144927536231883,0.10144927536231883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 7 (TS),0.0,0.0,0.0,0.0,0.0,0.0,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.39855072463768115,0.39855072463768115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 8,0.0,0.0,0.0,0.0,0.0,0.0,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.10144927536231883,0.10144927536231883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 9 (TS),0.0,0.0,0.0,0.0,0.0,0.0,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.25235294117647056,0.39855072463768115,0.39855072463768115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unidade 10,0.0,0.0,0.0,0.0,0.0,0.0,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.0776470588235294,0.10144927536231883,0.10144927536231883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
